,Title,Text,Summary,URL
10,List of science fiction films of the 1920s - Wikipedia,"A list of science fiction films released in the 1920s. These films include core elements of science fiction and are widely available with reviews by reputable critics or film historians.
","A list of science fiction films released in the 1920s. These films include core elements of science fiction and are widely available with reviews by reputable critics or film historians.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_1920s
11,List of science fiction films of the 1930s - Wikipedia,"This is a list of science fiction films that premiered between 1 January 1930 and 31 December 1939. In Phil Hardy's book Science Fiction (1983), the 1930s were described as a period where both science fiction literature and cinema were ""in turmoil"" and that by examining films of decade that ""it is clear that Science Fiction, in no sense, can be seen as an ongoing genre in the thirties"".[1]
","This is a list of science fiction films that premiered between 1 January 1930 and 31 December 1939. In Phil Hardy's book Science Fiction (1983), the 1930s were described as a period where both science fiction literature and cinema were ""in turmoil"" and that by examining films of decade that ""it is clear that Science Fiction, in no sense, can be seen as an ongoing genre in the thirties"".[1]
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_1930s
12,List of science fiction films of the 1940s - Wikipedia,"A list of science fiction films released in the 1940s. These films include core elements of science fiction and are widely distributed with reviews by reputable
critics.
","A list of science fiction films released in the 1940s. These films include core elements of science fiction and are widely distributed with reviews by reputable
critics.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_1940s
13,List of science fiction films of the 1950s - Wikipedia,"A list of science fiction films released in the 1950s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
","A list of science fiction films released in the 1950s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_1950s
14,List of science fiction films of the 1960s - Wikipedia,"A list of science fiction films released in the 1960s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics. Collectively, the science fiction films from the 1960s received five Academy Awards, a Hugo Award and a BAFTA Award.
","A list of science fiction films released in the 1960s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics. Collectively, the science fiction films from the 1960s received five Academy Awards, a Hugo Award and a BAFTA Award.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_1960s
15,List of science fiction films of the 1970s - Wikipedia,"A list of science fiction films released in the 1970s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
","A list of science fiction films released in the 1970s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_1970s
16,List of science fiction films of the 1980s - Wikipedia,"A list of science fiction films released in the 1980s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
","A list of science fiction films released in the 1980s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_1980s
17,List of science fiction films of the 1990s - Wikipedia,"A list of science fiction films released in the 1990s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
","A list of science fiction films released in the 1990s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_1990s
18,List of science fiction films of the 2000s - Wikipedia,"This is a list of science fiction films released in the 2000s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics. Collectively, the science fiction films from the 2000s have received six Academy Awards, twenty Saturn Awards, two Hugo Awards, one Nebula Award, five BAFTA awards, and six Magritte Awards. However, these films also received 17 Golden Raspberry Awards.
","This is a list of science fiction films released in the 2000s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics. Collectively, the science fiction films from the 2000s have received six Academy Awards, twenty Saturn Awards, two Hugo Awards, one Nebula Award, five BAFTA awards, and six Magritte Awards. However, these films also received 17 Golden Raspberry Awards.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_2000s
19,List of science fiction films of the 2010s - Wikipedia,"This is a list of science fiction films release in the 2010s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
","This is a list of science fiction films release in the 2010s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_2010s
20,List of science fiction films of the 2020s - Wikipedia,"This is a list of science fiction films released in the 2020s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
","This is a list of science fiction films released in the 2020s. These films include core elements of science fiction, but can cross into other genres. They have been released to a cinema audience by the commercial film industry and are widely distributed with reviews by reputable critics.
",https://en.wikipedia.org/wiki/List_of_science_fiction_films_of_the_2020s
21,List of science fiction television films - Wikipedia,"This is a list of science fiction television films that did not have a theatrical release, including direct-to-video releases.
","This is a list of science fiction television films that did not have a theatrical release, including direct-to-video releases.
",https://en.wikipedia.org/wiki/List_of_science_fiction_television_films
22,Film genre - Wikipedia,"Drawing heavily from the theories of literary-genre criticism, film genres are usually delineated by ""conventions, iconography, settings, narratives, characters and actors.""[3] One can also classify films by the tone, theme/topic, mood, format, target audience, or budget.[4] These characteristics are most evident in genre films, which are ""commercial feature films [that], through repetition and variation, tell familiar stories with familiar characters and familiar situations"" in a given genre.[5]
","Drawing heavily from the theories of literary-genre criticism, film genres are usually delineated by ""conventions, iconography, settings, narratives, characters and actors.""[3] One can also classify films by the tone, theme/topic, mood, format, target audience, or budget.[4] These characteristics are most evident in genre films, which are ""commercial feature films [that], through repetition and variation, tell familiar stories with familiar characters and familiar situations"" in a given genre.[5]
",https://en.wikipedia.org/wiki/Film_genre
23,Speculative fiction - Wikipedia,"Speculative fiction is a term that has been used with a variety of (sometimes contradictory) meanings.[1]  The broadest interpretation is as a category of fiction encompassing genres with elements that do not exist in reality, recorded history, nature, or the present universe. Such fiction covers various themes in the context of supernatural, futuristic, and other imaginative realms.[2] The genres under this umbrella category include, but are not limited to, science fiction, fantasy, horror, superhero fiction, alternate history, utopian and dystopian fiction, and supernatural fiction, as well as combinations thereof (for example, science fantasy).[3]
","Speculative fiction is a term that has been used with a variety of (sometimes contradictory) meanings.[1]  The broadest interpretation is as a category of fiction encompassing genres with elements that do not exist in reality, recorded history, nature, or the present universe. Such fiction covers various themes in the context of supernatural, futuristic, and other imaginative realms.[2] The genres under this umbrella category include, but are not limited to, science fiction, fantasy, horror, superhero fiction, alternate history, utopian and dystopian fiction, and supernatural fiction, as well as combinations thereof (for example, science fantasy).[3]
",https://en.wikipedia.org/wiki/Speculative_fiction
24,Science - Wikipedia,"Science is a systematic endeavor that builds and organizes knowledge in the form of testable explanations and predictions about the universe.[1][2]
","Science is a systematic endeavor that builds and organizes knowledge in the form of testable explanations and predictions about the universe.[1][2]
",https://en.wikipedia.org/wiki/Science
25,Extraterrestrials in fiction - Wikipedia,"Extraterrestrials are a common theme in modern science-fiction, and also appeared in much earlier works such as the second-century parody True History by  Lucian of Samosata.
","Extraterrestrials are a common theme in modern science-fiction, and also appeared in much earlier works such as the second-century parody True History by  Lucian of Samosata.
",https://en.wikipedia.org/wiki/Extraterrestrial_life_in_fiction
26,List of fictional spacecraft - Wikipedia,"Spaceships are often one of the key plot devices in science fiction. Numerous short stories and novels are built up around various ideas for spacecraft, and spacecraft have featured in many films and television series. Some hard science fiction books focus on the technical details of the craft. Some fictional spaceships have been referenced in the real world, notably Starship Enterprise from Star Trek which gave its name to Space Shuttle Enterprise and to the VSS Enterprise.[1]
For other ships from Star Wars, Star Trek, Robotech, and other major franchises, see the separate lists linked below.
","Spaceships are often one of the key plot devices in science fiction. Numerous short stories and novels are built up around various ideas for spacecraft, and spacecraft have featured in many films and television series. Some hard science fiction books focus on the technical details of the craft. Some fictional spaceships have been referenced in the real world, notably Starship Enterprise from Star Trek which gave its name to Space Shuttle Enterprise and to the VSS Enterprise.[1]
For other ships from Star Wars, Star Trek, Robotech, and other major franchises, see the separate lists linked below.
",https://en.wikipedia.org/wiki/List_of_fictional_spacecraft
27,Robot - Wikipedia,"A robot is a machine—especially one programmable by a computer—capable of carrying out a complex series of actions automatically.[2] A robot can be guided by an external control device, or the control may be embedded within. Robots may be constructed to evoke human form, but most robots are task-performing machines, designed with an emphasis on stark functionality, rather than expressive aesthetics.
","A robot is a machine—especially one programmable by a computer—capable of carrying out a complex series of actions automatically.[2] A robot can be guided by an external control device, or the control may be embedded within. Robots may be constructed to evoke human form, but most robots are task-performing machines, designed with an emphasis on stark functionality, rather than expressive aesthetics.
",https://en.wikipedia.org/wiki/Robot
28,Cyborg - Wikipedia,"A cyborg (/ˈsaɪbɔːrɡ/)—a portmanteau of cybernetic and organism—is a being with both organic and biomechatronic body parts. The term was coined in 1960 by Manfred Clynes and Nathan S. Kline.[1]
","A cyborg (/ˈsaɪbɔːrɡ/)—a portmanteau of cybernetic and organism—is a being with both organic and biomechatronic body parts. The term was coined in 1960 by Manfred Clynes and Nathan S. Kline.[1]
",https://en.wikipedia.org/wiki/Cyborg
29,Interstellar travel - Wikipedia,"As of 2022, five uncrewed spacecraft, all launched and operated by the United States, have achieved the escape velocity required to leave the Solar System as part of missions to explore parts of the outer system.  They will therefore continue to travel through interstellar space indefinitely.  However, they will not approach another star for hundreds of thousands of years, long after they have ceased to operate (though in theory the Voyager Golden Record would be playable in the highly unlikely event that the spacecraft is retrieved by an extraterrestrial civilization).
","As of 2022, five uncrewed spacecraft, all launched and operated by the United States, have achieved the escape velocity required to leave the Solar System as part of missions to explore parts of the outer system.  They will therefore continue to travel through interstellar space indefinitely.  However, they will not approach another star for hundreds of thousands of years, long after they have ceased to operate (though in theory the Voyager Golden Record would be playable in the highly unlikely event that the spacecraft is retrieved by an extraterrestrial civilization).
",https://en.wikipedia.org/wiki/Interstellar_travel
30,Time travel - Wikipedia,"Time travel is the concept of movement between certain points in time, analogous to movement between different points in space by an object or a person, typically with the use of a hypothetical device known as a time machine. Time travel is a widely recognized concept in philosophy and fiction, particularly science fiction. The idea of a time machine was popularized by H. G. Wells' 1895 novel The Time Machine.[1]
","Time travel is the concept of movement between certain points in time, analogous to movement between different points in space by an object or a person, typically with the use of a hypothetical device known as a time machine. Time travel is a widely recognized concept in philosophy and fiction, particularly science fiction. The idea of a time machine was popularized by H. G. Wells' 1895 novel The Time Machine.[1]
",https://en.wikipedia.org/wiki/Time_travel
31,Politics - Wikipedia,"Politics (from Greek: Πολιτικά, politiká, 'affairs of the cities') is the set of activities that are associated with making decisions in groups, or other forms of power relations among individuals, such as the distribution of resources or status. The branch of social science that studies politics and government is referred to as political science.
","Politics (from Greek: Πολιτικά, politiká, 'affairs of the cities') is the set of activities that are associated with making decisions in groups, or other forms of power relations among individuals, such as the distribution of resources or status. The branch of social science that studies politics and government is referred to as political science.
",https://en.wikipedia.org/wiki/Politics
32,Social issue - Wikipedia,"There can be disagreements about what social issues are worth solving, or which should take precedence. Different individuals and different societies have different perceptions. In Rights of Man and Common Sense, Thomas Paine addresses the individual's duty to ""allow the same rights to others as we allow ourselves."" The failure to do so causes the creation of a social issue.
","There can be disagreements about what social issues are worth solving, or which should take precedence. Different individuals and different societies have different perceptions. In Rights of Man and Common Sense, Thomas Paine addresses the individual's duty to ""allow the same rights to others as we allow ourselves."" The failure to do so causes the creation of a social issue.
",https://en.wikipedia.org/wiki/Social_issue
33,Human condition - Wikipedia,"As a literary term, ""the human condition"" is typically used in the context of ambiguous subjects, such as the meaning of life or moral concerns.[1]
","As a literary term, ""the human condition"" is typically used in the context of ambiguous subjects, such as the meaning of life or moral concerns.[1]
",https://en.wikipedia.org/wiki/Human_condition
34,Genre - Wikipedia,"Genre began[clarification needed] as an absolute classification system for ancient Greek literature, as set out in Aristotle's Poetics.[4] For Aristotle, poetry (odes, epics, etc.), prose, and performance each had specific design features that supported appropriate content of each genre. Speech patterns for comedy would not be appropriate for tragedy, for example, and even actors were restricted to their genre under the assumption that a type of person could tell one type of story best.
","Genre began[clarification needed] as an absolute classification system for ancient Greek literature, as set out in Aristotle's Poetics.[4] For Aristotle, poetry (odes, epics, etc.), prose, and performance each had specific design features that supported appropriate content of each genre. Speech patterns for comedy would not be appropriate for tragedy, for example, and even actors were restricted to their genre under the assumption that a type of person could tell one type of story best.
",https://en.wikipedia.org/wiki/Genre
35,Silent film - Wikipedia,"A silent film is a film with no synchronized recorded sound (or more generally, no audible dialogue). Though silent films convey narrative and emotion visually, various plot elements (such as a setting or era) or key lines of dialogue may, when necessary, be conveyed by the use of title cards.
","A silent film is a film with no synchronized recorded sound (or more generally, no audible dialogue). Though silent films convey narrative and emotion visually, various plot elements (such as a setting or era) or key lines of dialogue may, when necessary, be conveyed by the use of title cards.
",https://en.wikipedia.org/wiki/Silent_cinema
36,A Trip to the Moon - Wikipedia,"A Trip to the Moon (French: Le Voyage dans la Lune)[a] is a 1902 French adventure short film directed by Georges Méliès. Inspired by a wide variety of sources, including Jules Verne's 1865 novel From the Earth to the Moon and its 1870 sequel Around the Moon, the film follows a group of astronomers who travel to the Moon in a cannon-propelled capsule, explore the Moon's surface, escape from an underground group of Selenites (lunar inhabitants), and return to Earth with a captive Selenite. Its ensemble cast of French theatrical performers is led by Méliès himself as the main character Professor Barbenfouillis. The film features the overtly theatrical style for which Méliès became famous.
","A Trip to the Moon (French: Le Voyage dans la Lune)[a] is a 1902 French adventure short film directed by Georges Méliès. Inspired by a wide variety of sources, including Jules Verne's 1865 novel From the Earth to the Moon and its 1870 sequel Around the Moon, the film follows a group of astronomers who travel to the Moon in a cannon-propelled capsule, explore the Moon's surface, escape from an underground group of Selenites (lunar inhabitants), and return to Earth with a captive Selenite. Its ensemble cast of French theatrical performers is led by Méliès himself as the main character Professor Barbenfouillis. The film features the overtly theatrical style for which Méliès became famous.
",https://en.wikipedia.org/wiki/A_Trip_to_the_Moon
37,Special effect - Wikipedia,"Special effects (often abbreviated as SFX, F/X or simply FX) are illusions or visual tricks used in the theatre, film, television, video game, amusement park and simulator industries to simulate the imagined events in a story or virtual world.
","Special effects (often abbreviated as SFX, F/X or simply FX) are illusions or visual tricks used in the theatre, film, television, video game, amusement park and simulator industries to simulate the imagined events in a story or virtual world.
",https://en.wikipedia.org/wiki/Special_effect
38,Metropolis (1927 film) - Wikipedia,"Metropolis is a 1927 German expressionist science-fiction drama film directed by Fritz Lang and written by Thea von Harbou in collaboration with Lang[6][7] from von Harbou's 1925 novel of the same name. Intentionally written as a treatment, it stars Gustav Fröhlich, Alfred Abel, Rudolf Klein-Rogge, and Brigitte Helm. Erich Pommer produced it in the Babelsberg Studios for Universum Film A.G. (UFA). The silent film is regarded as a pioneering science-fiction movie, being among the first feature-length movies of that genre.[8] Filming took place over 17 months in 1925–26 at a cost of more than five million Reichsmarks,[9] or the equivalent of about €21 million.
","Metropolis is a 1927 German expressionist science-fiction drama film directed by Fritz Lang and written by Thea von Harbou in collaboration with Lang[6][7] from von Harbou's 1925 novel of the same name. Intentionally written as a treatment, it stars Gustav Fröhlich, Alfred Abel, Rudolf Klein-Rogge, and Brigitte Helm. Erich Pommer produced it in the Babelsberg Studios for Universum Film A.G. (UFA). The silent film is regarded as a pioneering science-fiction movie, being among the first feature-length movies of that genre.[8] Filming took place over 17 months in 1925–26 at a cost of more than five million Reichsmarks,[9] or the equivalent of about €21 million.
",https://en.wikipedia.org/wiki/Metropolis_(1927_film)
39,B movie - Wikipedia,"A B movie or B film is a low-budget commercial motion picture. In its original usage, during the Golden Age of Hollywood, the term more precisely identified films intended for distribution as the less-publicized bottom half of a double feature (akin to B-sides for recorded music). However, the U.S. production of films intended as second features largely ceased by the end of the 1950s.  With the emergence of commercial television at that time, film studio B movie production departments changed into television film production divisions. They created much of the same type of content in low budget films and series. The term B movie continues to be used in its broader sense to this day. In its post-Golden Age usage, B movies can range from lurid exploitation films to independent arthouse films. 
","A B movie or B film is a low-budget commercial motion picture. In its original usage, during the Golden Age of Hollywood, the term more precisely identified films intended for distribution as the less-publicized bottom half of a double feature (akin to B-sides for recorded music). However, the U.S. production of films intended as second features largely ceased by the end of the 1950s.  With the emergence of commercial television at that time, film studio B movie production departments changed into television film production divisions. They created much of the same type of content in low budget films and series. The term B movie continues to be used in its broader sense to this day. In its post-Golden Age usage, B movies can range from lurid exploitation films to independent arthouse films. 
",https://en.wikipedia.org/wiki/B_movies
40,Star Wars (film) - Wikipedia,"Star Wars (retroactively titled Star Wars: Episode IV – A New Hope) is a 1977 American epic space opera film written and directed by George Lucas, produced by Lucasfilm and distributed by 20th Century Fox. It is the first film in the Star Wars film series and fourth chronological chapter of the ""Skywalker Saga"". Set ""a long time ago"" in a fictional universe where the galaxy is ruled by the tyrannical Galactic Empire, the story focuses on a group of freedom fighters known as the Rebel Alliance, who aim to destroy the Empire's newest weapon, the Death Star. Luke Skywalker becomes caught in the conflict while learning the ways of a metaphysical power known as ""the Force"" from Jedi Master Obi-Wan Kenobi. The cast includes Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, David Prowse, James Earl Jones, Anthony Daniels, Kenny Baker, and Peter Mayhew.
","Star Wars (retroactively titled Star Wars: Episode IV – A New Hope) is a 1977 American epic space opera film written and directed by George Lucas, produced by Lucasfilm and distributed by 20th Century Fox. It is the first film in the Star Wars film series and fourth chronological chapter of the ""Skywalker Saga"". Set ""a long time ago"" in a fictional universe where the galaxy is ruled by the tyrannical Galactic Empire, the story focuses on a group of freedom fighters known as the Rebel Alliance, who aim to destroy the Empire's newest weapon, the Death Star. Luke Skywalker becomes caught in the conflict while learning the ways of a metaphysical power known as ""the Force"" from Jedi Master Obi-Wan Kenobi. The cast includes Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness, David Prowse, James Earl Jones, Anthony Daniels, Kenny Baker, and Peter Mayhew.
",https://en.wikipedia.org/wiki/Star_Wars_(film)
41,Blockbuster (entertainment) - Wikipedia,"The term began to appear in the American press in the early 1940s,[1] referring to aerial bombs capable of destroying a whole block of buildings.[2] Its first known use in reference to films was in May 1943, when advertisements in Variety and Motion Picture Herald described the RKO film, Bombardier, as ""The block-buster of all action-thrill-service shows!"" Another trade advertisement in 1944 boasted that the war documentary, With the Marines at Tarawa, ""hits the heart like a two ton blockbuster."" 
","The term began to appear in the American press in the early 1940s,[1] referring to aerial bombs capable of destroying a whole block of buildings.[2] Its first known use in reference to films was in May 1943, when advertisements in Variety and Motion Picture Herald described the RKO film, Bombardier, as ""The block-buster of all action-thrill-service shows!"" Another trade advertisement in 1944 boasted that the war documentary, With the Marines at Tarawa, ""hits the heart like a two ton blockbuster."" 
",https://en.wikipedia.org/wiki/Blockbuster_(entertainment)
42,Eric R. Williams - Wikipedia,"Williams's narrative research emphasizes collaboration between storytellers and their audience.[2] While teaching at Ohio University, Williams began combining aspects of traditional film, theater, and literature with emerging communication technologies such as virtual reality and 360-degree video. In 2020, he and his colleagues wrote a book explaining their techniques, naming this new medium ""virtual reality cinema"" (or cine-VR).[6]
","Williams's narrative research emphasizes collaboration between storytellers and their audience.[2] While teaching at Ohio University, Williams began combining aspects of traditional film, theater, and literature with emerging communication technologies such as virtual reality and 360-degree video. In 2020, he and his colleagues wrote a book explaining their techniques, naming this new medium ""virtual reality cinema"" (or cine-VR).[6]
",https://en.wikipedia.org/wiki/Eric_R._Williams
43,Screenwriters Taxonomy - Wikipedia,"In the broadest sense, Williams contends that all narrative fiction films can be broken down into two types: Comedy or Drama.  The difference between these types is simply based on whether or not the film is more serious (drama) or humorous (comedy).  There are ten different brands of drama, and a dozen brands of comedy.[10]
","In the broadest sense, Williams contends that all narrative fiction films can be broken down into two types: Comedy or Drama.  The difference between these types is simply based on whether or not the film is more serious (drama) or humorous (comedy).  There are ten different brands of drama, and a dozen brands of comedy.[10]
",https://en.wikipedia.org/wiki/Screenwriters_Taxonomy
44,Action film - Wikipedia,"Advancements in computer-generated imagery (CGI) have made it cheaper and easier to create action sequences and other visual effects that required the efforts of professional stunt crews in the past. However, reactions to action films containing significant amounts of CGI have been mixed, as some films use CGI to create unrealistic, highly unbelievable events.[1] While action has long been a recurring component in films, the ""action film"" genre began to develop in the 1970s along with the increase of stunts and special effects.
","Advancements in computer-generated imagery (CGI) have made it cheaper and easier to create action sequences and other visual effects that required the efforts of professional stunt crews in the past. However, reactions to action films containing significant amounts of CGI have been mixed, as some films use CGI to create unrealistic, highly unbelievable events.[1] While action has long been a recurring component in films, the ""action film"" genre began to develop in the 1970s along with the increase of stunts and special effects.
",https://en.wikipedia.org/wiki/Action_film
45,Crime film - Wikipedia,"Screenwriter and scholar Eric R. Williams identified crime film as one of eleven super-genres in his Screenwriters Taxonomy, claiming that all feature-length narrative films can be classified by these super-genres.  The other ten super-genres are action, fantasy, horror, romance, science fiction, slice of life, sports, thriller, war and western.[2]  Williams identifies drama in a broader category called ""film type"", mystery and suspense as ""macro-genres"", and film noir as a ""screenwriter's pathway"" explaining that these categories are additive rather than exclusionary.[3] Chinatown would be an example of a film that is a drama (film type) crime film (super-genre) that is also a noir (pathway) mystery (macro-genre).
","Screenwriter and scholar Eric R. Williams identified crime film as one of eleven super-genres in his Screenwriters Taxonomy, claiming that all feature-length narrative films can be classified by these super-genres.  The other ten super-genres are action, fantasy, horror, romance, science fiction, slice of life, sports, thriller, war and western.[2]  Williams identifies drama in a broader category called ""film type"", mystery and suspense as ""macro-genres"", and film noir as a ""screenwriter's pathway"" explaining that these categories are additive rather than exclusionary.[3] Chinatown would be an example of a film that is a drama (film type) crime film (super-genre) that is also a noir (pathway) mystery (macro-genre).
",https://en.wikipedia.org/wiki/Crime_film
46,Fantasy film - Wikipedia,"Several sub-categories of fantasy films can be identified, although the delineations between these subgenres, much as in fantasy literature, are somewhat fluid.
","Several sub-categories of fantasy films can be identified, although the delineations between these subgenres, much as in fantasy literature, are somewhat fluid.
",https://en.wikipedia.org/wiki/Fantasy_film
47,Horror film - Wikipedia,"
","
",https://en.wikipedia.org/wiki/Horror_film
